line,lang,has_vuln,cwe,stratum,stratum_n,oversampled,verdict,verdict_basis
1277,nginx,True,CWE-326,nginx|vuln,50,0,,
1291,systemd,True,CWE-1188,systemd|vuln,11,0,,
1308,systemd,True,CWE-1188,systemd|vuln,11,0,,
1313,yaml,True,CWE-732,yaml|vuln,95,0,,
1324,dockerfile,True,CWE-798,dockerfile|vuln,52,0,,
1344,nginx,True,CWE-326,nginx|vuln,50,0,,
1353,ini,True,CWE-1188,ini|vuln,15,0,,
1357,nginx,True,CWE-327,nginx|vuln,50,0,,
1371,ini,True,CWE-1188,ini|vuln,15,0,,
1379,dockerfile,True,CWE-798,dockerfile|vuln,52,0,,
1404,systemd,True,CWE-1188,systemd|vuln,11,0,,
1417,yaml,True,CWE-732,yaml|vuln,95,0,,
1418,dockerfile,True,CWE-276,dockerfile|vuln,52,0,,
1420,yaml,True,CWE-732,yaml|vuln,95,0,,
1440,bash,True,CWE-78,bash|vuln,143,0,,
1451,systemd,True,CWE-1188,systemd|vuln,11,0,,
1459,dockerfile,True,CWE-798,dockerfile|vuln,52,0,,
1462,nginx,True,CWE-326,nginx|vuln,50,0,,
1520,go,True,CWE-918,go|vuln,407,1,,
1550,c,True,CWE-798,c|vuln,313,1,,
1553,python,True,CWE-89,python|vuln,1420,1,,
1555,go,True,CWE-918,go|vuln,407,1,,
1559,python,True,CWE-416,python|vuln,1420,1,,
1581,javascript,True,CWE-611,javascript|vuln,805,1,,
1585,java,True,CWE-352,java|vuln,671,1,,
1599,python,True,CWE-89,python|vuln,1420,1,,
1604,javascript,True,CWE-611,javascript|vuln,805,1,,
1656,javascript,True,CWE-79,javascript|vuln,805,1,,
1755,go,True,CWE-918,go|vuln,407,1,,
1756,java,True,CWE-352,java|vuln,671,1,,
1780,python,True,CWE-78,python|vuln,1420,1,,
1793,python,True,CWE-1336,python|vuln,1420,1,,
1808,javascript,True,CWE-1321,javascript|vuln,805,1,,
1816,python,True,CWE-78,python|vuln,1420,1,,
1842,ruby,True,CWE-89,ruby|vuln,14,0,,
1855,python,True,CWE-639,python|vuln,1420,1,,
1862,python,True,CWE-306,python|vuln,1420,1,,
1893,python,True,CWE-798,python|vuln,1420,1,,
1901,rust,True,CWE-190,rust|vuln,2,0,,
1907,java,True,CWE-89,java|vuln,671,1,,
1915,python,True,CWE-89,python|vuln,1420,1,,
1916,python,True,CWE-89,python|vuln,1420,1,,
1920,java,True,CWE-943,java|vuln,671,1,,
1928,javascript,True,CWE-89,javascript|vuln,805,1,,
1939,java,True,CWE-89,java|vuln,671,1,,
1954,python,True,CWE-79,python|vuln,1420,1,,
1955,python,True,CWE-79,python|vuln,1420,1,,
1962,python,True,CWE-78,python|vuln,1420,1,,
1973,ruby,True,CWE-78,ruby|vuln,14,0,,
1985,php,True,CWE-22,php|vuln,429,1,,
2001,python,True,CWE-502,python|vuln,1420,1,,
2032,python,True,CWE-352,python|vuln,1420,1,,
2034,python,True,CWE-862,python|vuln,1420,1,,
2100,python,True,CWE-918,python|vuln,1420,1,,
2118,php,True,CWE-98,php|vuln,429,1,,
2127,python,True,CWE-434,python|vuln,1420,1,,
2133,javascript,True,CWE-95,javascript|vuln,805,1,,
2152,go,True,CWE-409,go|vuln,407,1,,
2163,java,True,CWE-89,java|vuln,671,1,,
2164,php,True,CWE-89,php|vuln,429,1,,
2167,go,True,CWE-78,go|vuln,407,1,,
2176,python,True,CWE-943,python|vuln,1420,1,,
2195,java,True,CWE-917,java|vuln,671,1,,
2209,java,True,CWE-384,java|vuln,671,1,,
2228,c,True,CWE-416,c|vuln,313,1,,
2230,c,True,CWE-416,c|vuln,313,1,,
2241,java,True,CWE-22,java|vuln,671,1,,
2245,python,True,CWE-79,python|vuln,1420,1,,
2249,python,True,CWE-502,python|vuln,1420,1,,
2252,python,True,CWE-611,python|vuln,1420,1,,
2261,c,True,CWE-134,c|vuln,313,1,,
2288,python,True,CWE-208,python|vuln,1420,1,,
2303,python,True,CWE-352,python|vuln,1420,1,,
2315,python,True,CWE-601,python|vuln,1420,1,,
2363,javascript,True,CWE-90,javascript|vuln,805,1,,
2374,javascript,True,CWE-90,javascript|vuln,805,1,,
2408,python,True,CWE-918,python|vuln,1420,1,,
2444,python,True,CWE-330,python|vuln,1420,1,,
2455,javascript,True,CWE-330,javascript|vuln,805,1,,
2490,java,True,CWE-384,java|vuln,671,1,,
2495,java,True,CWE-352,java|vuln,671,1,,
2501,python,True,CWE-94,python|vuln,1420,1,,
2502,javascript,True,CWE-94,javascript|vuln,805,1,,
2522,javascript,True,CWE-78,javascript|vuln,805,1,,
2536,python,True,CWE-601,python|vuln,1420,1,,
2582,python,True,CWE-78,python|vuln,1420,1,,
2583,java,True,CWE-915,java|vuln,671,1,,
2596,python,True,CWE-78,python|vuln,1420,1,,
2602,python,True,CWE-22,python|vuln,1420,1,,
2618,ruby,True,CWE-89,ruby|vuln,14,0,,
2619,ruby,True,CWE-89,ruby|vuln,14,0,,
2654,python,True,CWE-613,python|vuln,1420,1,,
2661,python,True,CWE-798,python|vuln,1420,1,,
2683,python,True,CWE-89,python|vuln,1420,1,,
2699,java,True,CWE-89,java|vuln,671,1,,
2731,python,True,CWE-79,python|vuln,1420,1,,
2807,python,True,CWE-22,python|vuln,1420,1,,
2808,python,True,CWE-502,python|vuln,1420,1,,
2849,python,True,CWE-352,python|vuln,1420,1,,
2876,c,True,CWE-190,c|vuln,313,1,,
2888,javascript,True,CWE-798,javascript|vuln,805,1,,
2917,go,True,CWE-918,go|vuln,407,1,,
2963,dockerfile,False,,dockerfile|safe,192,0,,
2973,yaml,False,,yaml|safe,115,0,,
3006,ini,False,,ini|safe,45,0,,
3024,dockerfile,False,,dockerfile|safe,192,0,,
3039,dockerfile,False,,dockerfile|safe,192,0,,
3065,bash,False,,bash|safe,231,0,,
3087,ini,False,,ini|safe,45,0,,
3117,python,False,,python|safe,1429,0,,
3129,systemd,False,,systemd|safe,43,0,,
3138,dockerfile,False,,dockerfile|safe,192,0,,
3154,javascript,False,,javascript|safe,764,0,,
3169,javascript,False,,javascript|safe,764,0,,
3178,systemd,False,,systemd|safe,43,0,,
3214,dockerfile,False,,dockerfile|safe,192,0,,
3230,bash,False,,bash|safe,231,0,,
3249,python,False,,python|safe,1429,0,,
3255,javascript,False,,javascript|safe,764,0,,
3270,ini,False,,ini|safe,45,0,,
3274,python,False,,python|safe,1429,0,,
3290,python,False,,python|safe,1429,0,,
3307,go,False,,go|safe,434,0,,
3341,cpp,False,,cpp|safe,228,0,,
3439,javascript,False,,javascript|safe,764,0,,
3457,javascript,False,,javascript|safe,764,0,,
3458,python,False,,python|safe,1429,0,,
3459,javascript,False,,javascript|safe,764,0,,
3494,python,False,,python|safe,1429,0,,
3520,c,False,,c|safe,305,0,,
3539,go,False,,go|safe,434,0,,
3579,c,False,,c|safe,305,0,,
3637,bash,False,,bash|safe,231,0,,
3651,systemd,False,,systemd|safe,43,0,,
3677,python,False,,python|safe,1429,0,,
3685,dockerfile,False,,dockerfile|safe,192,0,,
3690,python,False,,python|safe,1429,0,,
3731,python,False,,python|safe,1429,0,,
3822,javascript,False,,javascript|safe,764,0,,
3860,yaml,False,,yaml|safe,115,0,,
3873,java,False,,java|safe,646,0,,
3884,go,False,,go|safe,434,0,,
3942,python,False,,python|safe,1429,0,,
3952,php,False,,php|safe,475,0,,
3975,python,False,,python|safe,1429,0,,
4022,c,False,,c|safe,305,0,,
4036,java,False,,java|safe,646,0,,
4045,yaml,False,,yaml|safe,115,0,,
4119,javascript,False,,javascript|safe,764,0,,
4176,cpp,False,,cpp|safe,228,0,,
4229,ini,False,,ini|safe,45,0,,
4254,python,False,,python|safe,1429,0,,
4266,cpp,False,,cpp|safe,228,0,,
4277,javascript,False,,javascript|safe,764,0,,
4292,c,False,,c|safe,305,0,,
4322,javascript,False,,javascript|safe,764,0,,
4338,php,False,,php|safe,475,0,,
4351,cpp,False,,cpp|safe,228,0,,
4355,javascript,False,,javascript|safe,764,0,,
4365,python,False,,python|safe,1429,0,,
4388,php,False,,php|safe,475,0,,
4406,go,False,,go|safe,434,0,,
4423,java,False,,java|safe,646,0,,
4479,go,False,,go|safe,434,0,,
4517,cpp,False,,cpp|safe,228,0,,
4521,yaml,False,,yaml|safe,115,0,,
4528,java,False,,java|safe,646,0,,
4541,cpp,False,,cpp|safe,228,0,,
4590,nginx,False,,nginx|safe,43,0,,
4592,go,False,,go|safe,434,0,,
4637,java,False,,java|safe,646,0,,
4652,python,False,,python|safe,1429,0,,
4666,python,False,,python|safe,1429,0,,
4710,php,False,,php|safe,475,0,,
4735,javascript,False,,javascript|safe,764,0,,
4785,python,False,,python|safe,1429,0,,
4816,c,False,,c|safe,305,0,,
4905,c,False,,c|safe,305,0,,
4937,php,False,,php|safe,475,0,,
4966,php,False,,php|safe,475,0,,
4971,javascript,False,,javascript|safe,764,0,,
4994,java,False,,java|safe,646,0,,
4997,systemd,False,,systemd|safe,43,0,,
5002,bash,False,,bash|safe,231,0,,
5048,javascript,False,,javascript|safe,764,0,,
5049,bash,False,,bash|safe,231,0,,
5059,python,False,,python|safe,1429,0,,
5095,python,False,,python|safe,1429,0,,
5143,nginx,False,,nginx|safe,43,0,,
5164,javascript,False,,javascript|safe,764,0,,
5193,nginx,False,,nginx|safe,43,0,,
5227,javascript,False,,javascript|safe,764,0,,
5233,cpp,False,,cpp|safe,228,0,,
5242,javascript,False,,javascript|safe,764,0,,
5293,c,False,,c|safe,305,0,,
5338,bash,False,,bash|safe,231,0,,
5343,dockerfile,False,,dockerfile|safe,192,0,,
5346,bash,False,,bash|safe,231,0,,
5377,go,False,,go|safe,434,0,,
5403,cpp,False,,cpp|safe,228,0,,
5476,python,False,,python|safe,1429,0,,
5484,nginx,False,,nginx|safe,43,0,,
5498,python,False,,python|safe,1429,0,,
5528,python,False,,python|safe,1429,0,,
5537,bash,False,,bash|safe,231,0,,
5538,python,False,,python|safe,1429,0,,
5557,php,False,,php|safe,475,0,,
5661,go,False,,go|safe,434,0,,
5706,javascript,False,,javascript|safe,764,0,,
5737,java,False,,java|safe,646,0,,
5738,php,False,,php|safe,475,0,,
5826,python,False,,python|safe,1429,0,,
5832,python,False,,python|safe,1429,0,,
5882,python,False,,python|safe,1429,0,,
5983,java,False,,java|safe,646,0,,
5991,java,False,,java|safe,646,0,,
6005,java,False,,java|safe,646,0,,
6006,java,False,,java|safe,646,0,,
6019,c,False,,c|safe,305,0,,
6039,java,False,,java|safe,646,0,,
6067,javascript,False,,javascript|safe,764,0,,
6068,javascript,False,,javascript|safe,764,0,,
6086,java,False,,java|safe,646,0,,
6089,java,False,,java|safe,646,0,,
6097,python,False,,python|safe,1429,0,,
6099,python,False,,python|safe,1429,0,,
6130,java,False,,java|safe,646,0,,
6181,c,False,,c|safe,305,0,,
6196,java,False,,java|safe,646,0,,
6215,python,False,,python|safe,1429,0,,
6225,java,True,CWE-798,java|vuln,671,1,,
6345,java,False,,java|safe,646,0,,
6359,javascript,False,,javascript|safe,764,0,,
6420,python,False,,python|safe,1429,0,,
6452,python,False,,python|safe,1429,0,,
6492,python,False,,python|safe,1429,0,,
6497,python,False,,python|safe,1429,0,,
6526,rust,True,CWE-416,rust|vuln,2,0,,
6531,rust,False,,rust|safe,1,0,,
6534,c,True,CWE-415,c|vuln,313,1,,
6535,cpp,True,CWE-415,cpp|vuln,108,1,,
6541,c,True,CWE-476,c|vuln,313,1,,
6543,c,True,CWE-787,c|vuln,313,1,,
6552,c,False,,c|safe,305,0,,
6558,cpp,True,CWE-190,cpp|vuln,108,1,,
6560,c,True,CWE-190,c|vuln,313,1,,
6591,javascript,True,CWE-1321,javascript|vuln,805,1,,
6614,javascript,True,CWE-319,javascript|vuln,805,1,,
6615,go,True,CWE-319,go|vuln,407,1,,
6624,javascript,True,CWE-347,javascript|vuln,805,1,,
6642,javascript,True,CWE-532,javascript|vuln,805,1,,
6644,python,True,CWE-532,python|vuln,1420,1,,
6646,python,True,CWE-610,python|vuln,1420,1,,
6650,java,True,CWE-610,java|vuln,671,1,,
6656,python,True,CWE-759,python|vuln,1420,1,,
6658,c,True,CWE-770,c|vuln,313,1,,
6659,python,True,CWE-770,python|vuln,1420,1,,
6701,javascript,True,CWE-208,javascript|vuln,805,1,,
6705,python,True,CWE-409,python|vuln,1420,1,,
6729,python,True,CWE-98,python|vuln,1420,1,,
6732,python,True,CWE-1336,python|vuln,1420,1,,
6735,java,True,CWE-1336,java|vuln,671,1,,
6745,python,True,CWE-1336,python|vuln,1420,1,,
6752,python,True,CWE-1336,python|vuln,1420,1,,
6778,python,True,CWE-862,python|vuln,1420,1,,
6782,python,True,CWE-862,python|vuln,1420,1,,
6812,java,True,CWE-89,java|vuln,671,1,,
6818,python,True,CWE-89,python|vuln,1420,1,,
6852,python,True,CWE-502,python|vuln,1420,1,,
6889,java,True,CWE-329,java|vuln,671,1,,
6893,java,True,CWE-79,java|vuln,671,1,,
6939,java,True,CWE-917,java|vuln,671,1,,
6960,go,True,CWE-312,go|vuln,407,1,,
6999,javascript,True,CWE-209,javascript|vuln,805,1,,
7005,python,True,CWE-89,python|vuln,1420,1,,
7011,python,True,CWE-90,python|vuln,1420,1,,
7033,java,True,CWE-611,java|vuln,671,1,,
7038,python,False,,python|safe,1429,0,,
7039,python,False,,python|safe,1429,0,,
7066,php,True,CWE-843,php|vuln,429,1,,
7071,java,True,CWE-209,java|vuln,671,1,,
7095,java,True,CWE-117,java|vuln,671,1,,
7138,go,False,,go|safe,434,0,,
7163,php,False,,php|safe,475,0,,
7210,python,True,CWE-79,python|vuln,1420,1,,
7216,php,True,CWE-79,php|vuln,429,1,,
7217,python,True,CWE-79,python|vuln,1420,1,,
7223,java,True,CWE-78,java|vuln,671,1,,
7245,python,False,,python|safe,1429,0,,
7256,python,False,,python|safe,1429,0,,
7310,python,False,,python|safe,1429,0,,
7333,go,True,CWE-601,go|vuln,407,1,,
7352,python,False,,python|safe,1429,0,,
7355,php,False,,php|safe,475,0,,
7384,php,True,CWE-502,php|vuln,429,1,,
7395,go,True,CWE-327,go|vuln,407,1,,
7475,go,False,,go|safe,434,0,,
7505,php,True,CWE-78,php|vuln,429,1,,
7585,?,False,,?|safe,75,0,,
7622,php,True,CWE-1336,php|vuln,429,1,,
7668,go,True,CWE-601,go|vuln,407,1,,
7672,java,False,,java|safe,646,0,,
7727,php,True,CWE-601,php|vuln,429,1,,
7748,java,True,CWE-22,java|vuln,671,1,,
7765,php,True,CWE-89,php|vuln,429,1,,
7799,javascript,False,,javascript|safe,764,0,,
7801,go,False,,go|safe,434,0,,
7808,php,True,CWE-78,php|vuln,429,1,,
7814,go,True,CWE-78,go|vuln,407,1,,
7829,python,True,CWE-79,python|vuln,1420,1,,
7847,java,True,CWE-798,java|vuln,671,1,,
7877,php,True,CWE-89,php|vuln,429,1,,
7880,php,False,,php|safe,475,0,,
7928,go,True,CWE-918,go|vuln,407,1,,
7965,python,False,,python|safe,1429,0,,
7985,php,True,CWE-347,php|vuln,429,1,,
7986,php,False,,php|safe,475,0,,
8027,python,False,,python|safe,1429,0,,
8054,python,True,CWE-22,python|vuln,1420,1,,
8064,java,False,,java|safe,646,0,,
8136,python,True,CWE-78,python|vuln,1420,1,,
8144,javascript,True,CWE-79,javascript|vuln,805,1,,
8146,php,True,CWE-79,php|vuln,429,1,,
8163,javascript,True,CWE-79,javascript|vuln,805,1,,
8179,php,True,CWE-918,php|vuln,429,1,,
8192,go,False,,go|safe,434,0,,
8198,php,False,,php|safe,475,0,,
8239,go,False,,go|safe,434,0,,
8251,python,False,,python|safe,1429,0,,
8271,php,False,,php|safe,475,0,,
8276,php,False,,php|safe,475,0,,
8306,java,True,CWE-311,java|vuln,671,1,,
8391,javascript,True,CWE-400,javascript|vuln,805,1,,
8418,python,False,,python|safe,1429,0,,
8473,python,False,,python|safe,1429,0,,
8484,java,False,,java|safe,646,0,,
8508,python,False,,python|safe,1429,0,,
8533,python,False,,python|safe,1429,0,,
8592,javascript,False,,javascript|safe,764,0,,
8652,javascript,False,,javascript|safe,764,0,,
8693,python,False,,python|safe,1429,0,,
8791,javascript,False,,javascript|safe,764,0,,
8796,php,False,,php|safe,475,0,,
8831,go,False,,go|safe,434,0,,
8851,python,False,,python|safe,1429,0,,
8863,python,False,,python|safe,1429,0,,
8895,java,False,,java|safe,646,0,,
8907,java,False,,java|safe,646,0,,
8938,python,True,CWE-22,python|vuln,1420,1,,
8992,javascript,True,CWE-22,javascript|vuln,805,1,,
9024,?,True,CWE-918,?|vuln,159,0,,
9093,?,True,CWE-22,?|vuln,159,0,,
9108,?,True,CWE-327,?|vuln,159,0,,
9119,?,True,CWE-611,?|vuln,159,0,,
9120,?,True,CWE-22,?|vuln,159,0,,
9139,?,False,,?|safe,75,0,,
9148,?,False,,?|safe,75,0,,
9162,?,False,,?|safe,75,0,,
9246,javascript,True,CWE-89,javascript|vuln,805,1,,
9286,csharp,True,CWE-327,csharp|vuln,77,0,,
9295,csharp,True,CWE-22,csharp|vuln,77,0,,
9329,csharp,True,CWE-327,csharp|vuln,77,0,,
9338,csharp,True,CWE-918,csharp|vuln,77,0,,
9391,kotlin,True,CWE-89,kotlin|vuln,75,0,,
9401,kotlin,True,CWE-502,kotlin|vuln,75,0,,
9402,kotlin,True,CWE-22,kotlin|vuln,75,0,,
9407,kotlin,True,CWE-78,kotlin|vuln,75,0,,
9466,javascript,False,,javascript|safe,764,0,,
9512,csharp,False,,csharp|safe,75,0,,
9522,csharp,False,,csharp|safe,75,0,,
9568,csharp,False,,csharp|safe,75,0,,
9575,csharp,False,,csharp|safe,75,0,,
9600,kotlin,False,,kotlin|safe,75,0,,
9605,kotlin,False,,kotlin|safe,75,0,,
9627,kotlin,False,,kotlin|safe,75,0,,
9647,kotlin,False,,kotlin|safe,75,0,,
9691,java,True,CWE-525,java|vuln,671,1,,
9705,go,True,CWE-525,go|vuln,407,1,,
9711,go,False,,go|safe,434,0,,
9759,go,True,CWE-117,go|vuln,407,1,,
9779,javascript,True,CWE-1321,javascript|vuln,805,1,,
9793,javascript,True,CWE-1321,javascript|vuln,805,1,,
9802,php,True,CWE-1336,php|vuln,429,1,,
9813,javascript,True,CWE-1336,javascript|vuln,805,1,,
9818,python,True,CWE-1336,python|vuln,1420,1,,
9839,python,True,CWE-862,python|vuln,1420,1,,
9843,python,True,CWE-306,python|vuln,1420,1,,
9858,javascript,True,CWE-1321,javascript|vuln,805,1,,
9887,javascript,True,CWE-208,javascript|vuln,805,1,,
9888,python,True,CWE-208,python|vuln,1420,1,,
9908,javascript,True,CWE-639,javascript|vuln,805,1,,
9911,python,True,CWE-89,python|vuln,1420,1,,
9923,php,True,CWE-79,php|vuln,429,1,,
9924,java,True,CWE-327,java|vuln,671,1,,
9950,python,True,CWE-117,python|vuln,1420,1,,
9973,python,True,CWE-862,python|vuln,1420,1,,
