line,redistill_id,tier,old_has_vuln,old_cwe,new_has_vuln,new_cwe,flags,决定
61,,C_人工终裁,True,CWE-416,True,CWE-200,"FLIP 判定翻转（原 True → 新 False）→ 人工复核",
7377,,C_人工终裁,True,CWE-441,False,,"FLIP 判定翻转（原 True → 新 False）→ 人工复核",
7435,,C_人工终裁,True,CWE-441,False,,"FLIP 判定翻转（原 True → 新 False）→ 人工复核",
7463,,C_人工终裁,True,CWE-327,False,,"FLIP 判定翻转（原 True → 新 False）→ 人工复核",
7470,,C_人工终裁,True,CWE-22,False,,"FLIP 判定翻转（原 True → 新 False）→ 人工复核",
7472,,C_人工终裁,True,CWE-22,False,,"FLIP 判定翻转（原 True → 新 False）→ 人工复核",
7730,,C_人工终裁,False,,True,CWE-755,"FLIP 判定翻转（原 False → 新 True）→ 人工复核",
7771,,C_人工终裁,False,,True,CWE-732,"FLIP 判定翻转（原 False → 新 True）→ 人工复核",
7846,,C_人工终裁,False,,True,CWE-22,"C6 近邻族 CWE-22 缺互斥锚句; FLIP 判定翻转（原 False → 新 True）→ 人工复核",
7859,,C_人工终裁,False,,True,CWE-79,"FLIP 判定翻转（原 False → 新 True）→ 人工复核",
8084,,C_人工终裁,False,,True,CWE-22,"FLIP 判定翻转（原 False → 新 True）→ 人工复核",
8085,,C_人工终裁,True,CWE-918,False,,"FLIP 判定翻转（原 True → 新 False）→ 人工复核",
8088,,C_人工终裁,True,CWE-639,False,,"FLIP 判定翻转（原 True → 新 False）→ 人工复核",
8090,,C_人工终裁,True,CWE-862,False,,"FLIP 判定翻转（原 True → 新 False）→ 人工复核",
8091,,C_人工终裁,True,CWE-79,False,,"FLIP 判定翻转（原 True → 新 False）→ 人工复核",
8093,,C_人工终裁,True,CWE-807,False,,"FLIP 判定翻转（原 True → 新 False）→ 人工复核",
8096,,C_人工终裁,True,CWE-79,False,,"FLIP 判定翻转（原 True → 新 False）→ 人工复核",
8097,,C_人工终裁,True,CWE-22,False,,"FLIP 判定翻转（原 True → 新 False）→ 人工复核",
8098,,C_人工终裁,True,CWE-22,False,,"FLIP 判定翻转（原 True → 新 False）→ 人工复核",
8100,,C_人工终裁,True,CWE-770,False,,"FLIP 判定翻转（原 True → 新 False）→ 人工复核",
8101,,C_人工终裁,True,CWE-770,False,,"FLIP 判定翻转（原 True → 新 False）→ 人工复核",
8178,,C_人工终裁,False,,True,CWE-22,"C6 近邻族 CWE-22 缺互斥锚句; FLIP 判定翻转（原 False → 新 True）→ 人工复核",
82,,C_人工终裁,True,CWE-415,False,,"FLIP 判定翻转（原 True → 新 False）→ 人工复核",
